A submitted VAT Assessment ({0}) already covers {1} {2} for {3}.,Já existe um Apuramento do IVA submetido ({0}) para {1} de {2} na empresa {3}.
About {0} minute remaining,Cerca de {0} minuto restante
About {0} minutes remaining,Cerca de {0} minutos restantes
About {0} seconds remaining,Cerca de {0} segundos restantes
Account '{0}' is not assigned to {1} '{2}'.,Conta '{0}' não está atribuída a {1} '{2}'.
Account Breakdown,Detalhe por Conta
"Account for recoverable VAT, e.g. 3457. The transfer into this account is done the following month after AGT-portal verification.","Conta de IVA a recuperar, p. ex. 3457. A transferência para esta conta é feita no mês seguinte, após verificação no portal da AGT."
"Account for VAT payable to the state, e.g. 3456. Used when the assessment results in a payable (credit) position.","Conta de IVA a pagar ao Estado, p. ex. 3456. Utilizada quando o apuramento resulta numa posição a pagar (credora)."
"Account holding deductible (input) VAT, e.g. 3452. Its debit balance is transferred to the VAT Assessment account.","Conta que regista o IVA dedutível, p. ex. 3452. O seu saldo devedor é transferido para a conta de Apuramento do IVA."
"Account holding output VAT, e.g. 3453. Its credit balance is transferred to the VAT Assessment account.","Conta que regista o IVA liquidado, p. ex. 3453. O seu saldo credor é transferido para a conta de Apuramento do IVA."
"Account holding VAT withheld at source by customers, e.g. 34572. Its debit balance is transferred to the VAT Assessment account, so it is always left at zero — whether the assessment is payable or recoverable. Leave empty if the company has no withheld VAT.","Conta que regista o IVA cativado na fonte pelos clientes, p. ex. 34572. O seu saldo devedor é transferido para a conta de Apuramento do IVA, ficando sempre a zero — quer o apuramento resulte a pagar ou a recuperar. Deixe vazio se a empresa não tiver IVA cativo."
Account Summary,Resumo por Conta
Add Abbr to Account Name,Adicionar abrev. ao nome da conta
Adjustment in Favour of the Company,Regulação a Favor da Empresa
Adjustment in Favour of the State,Regulação a Favor do Estado
Adjustments in Favour of the Company,Regulações a Favor da Empresa
Adjustments in Favour of the State,Regulações a Favor do Estado
Admin,Administrador
Allow,Permitir
Allow add New Items on New Line,Permitir Adicionar Novos Artigos numa Nova Linha
Allow Change Posting Date,Permitir alterar a data de lançamento
Allow Create Sales Order,Permitir Criar Encomenda
Allow Credit Sale,Permitir Credito de Venda
Allow Customer Purchase Order,Permitir o Pedido de Compra do Cliente
Allow Partial Payment,Permitir o Pagamento Parcial
Allow Print Draft Invoices,Permitir Imprimir Rascunhos de Faturas
Allow Print Last Invoice,Permitir Imprimir Última Fatura
Allow Return,Permitir Devolução
Allow Submissions in background job,Permitir Submissões em trabalho de segundo plano
Allow user to edit Additional Discount,Permitir ao utilizador editar o desconto adicional
Allow User to Edit Item Discount,Permitir que o Utilizador Edite o Desconto do item
Allow user to edit Item Name,Permitir que o utilizador edite o nome do item
